analysis,model,split,feature,status,n,pearson,spearman
target_vs_feature,not_applicable,train,HCDR3_len,available,934,-0.012599741718963968,-0.008127630741749353
target_vs_feature,not_applicable,train,LCDR3_len,available,934,0.2240353437303045,0.2488939194585404
target_vs_feature,not_applicable,train,total_CDR_len,available,934,0.10275082925941662,0.11162831772176318
target_vs_feature,not_applicable,train,antigen_len,available,934,-0.3765949843081205,-0.41253091086089283
target_vs_feature,not_applicable,train,contact_count,missing_feature,0,,
target_vs_feature,not_applicable,train,min_distance,missing_feature,0,,
target_vs_feature,not_applicable,train,interface_residue_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,train,HCDR3_len,available,934,0.03135963907145455,-0.0022614492937436154
absolute_error_vs_feature,all_cdr_pooled,train,LCDR3_len,available,934,0.02723726009759139,-0.007650486560653348
absolute_error_vs_feature,all_cdr_pooled,train,total_CDR_len,available,934,0.07039098473255594,0.02693457073542438
absolute_error_vs_feature,all_cdr_pooled,train,antigen_len,available,934,0.07070485854503422,0.024072090114196653
absolute_error_vs_feature,all_cdr_pooled,train,contact_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,train,min_distance,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,train,interface_residue_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,train,HCDR3_len,available,934,0.04367148797868416,0.04749859727219474
absolute_error_vs_feature,all_cdr_cross_attention,train,LCDR3_len,available,934,0.026240504113443135,0.000821818738354383
absolute_error_vs_feature,all_cdr_cross_attention,train,total_CDR_len,available,934,0.06787720578375711,0.054512584336448816
absolute_error_vs_feature,all_cdr_cross_attention,train,antigen_len,available,934,0.12090988189574008,0.12102790633887821
absolute_error_vs_feature,all_cdr_cross_attention,train,contact_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,train,min_distance,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,train,interface_residue_count,missing_feature,0,,
target_vs_feature,not_applicable,val,HCDR3_len,available,117,-0.040455290515047856,-0.10005370052843675
target_vs_feature,not_applicable,val,LCDR3_len,available,117,-0.014926588359897564,-0.015186913365791059
target_vs_feature,not_applicable,val,total_CDR_len,available,117,0.11633075980455257,-0.032403104071558955
target_vs_feature,not_applicable,val,antigen_len,available,117,-0.3764175156970603,-0.5076187588824016
target_vs_feature,not_applicable,val,contact_count,missing_feature,0,,
target_vs_feature,not_applicable,val,min_distance,missing_feature,0,,
target_vs_feature,not_applicable,val,interface_residue_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,val,HCDR3_len,available,117,0.09955571363291839,0.09832630082398508
absolute_error_vs_feature,all_cdr_pooled,val,LCDR3_len,available,117,-0.0019603108461865456,-0.029651929483059666
absolute_error_vs_feature,all_cdr_pooled,val,total_CDR_len,available,117,0.2704328970170738,0.1350592631334142
absolute_error_vs_feature,all_cdr_pooled,val,antigen_len,available,117,-0.02655123904966002,0.06650256460149409
absolute_error_vs_feature,all_cdr_pooled,val,contact_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,val,min_distance,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,val,interface_residue_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,val,HCDR3_len,available,117,0.14710814147158316,0.1522219242824874
absolute_error_vs_feature,all_cdr_cross_attention,val,LCDR3_len,available,117,-0.0047746597288492315,-0.03761987036362621
absolute_error_vs_feature,all_cdr_cross_attention,val,total_CDR_len,available,117,0.3314260147913562,0.23827137621829175
absolute_error_vs_feature,all_cdr_cross_attention,val,antigen_len,available,117,-0.024823517996836797,0.058349912174854586
absolute_error_vs_feature,all_cdr_cross_attention,val,contact_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,val,min_distance,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,val,interface_residue_count,missing_feature,0,,
target_vs_feature,not_applicable,test,HCDR3_len,available,117,-0.08633294901333996,-0.09093028345605098
target_vs_feature,not_applicable,test,LCDR3_len,available,117,0.0251352665108183,0.14194102590947208
target_vs_feature,not_applicable,test,total_CDR_len,available,117,-0.045977405085088734,-0.025881569249710596
target_vs_feature,not_applicable,test,antigen_len,available,117,-0.37239633855371795,-0.44072064103644026
target_vs_feature,not_applicable,test,contact_count,missing_feature,0,,
target_vs_feature,not_applicable,test,min_distance,missing_feature,0,,
target_vs_feature,not_applicable,test,interface_residue_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,test,HCDR3_len,available,117,-2.5122087379646797e-05,0.013076615669425884
absolute_error_vs_feature,all_cdr_pooled,test,LCDR3_len,available,117,-0.0808193781709233,-0.05332145470851151
absolute_error_vs_feature,all_cdr_pooled,test,total_CDR_len,available,117,0.05246525621552534,0.07273062840835354
absolute_error_vs_feature,all_cdr_pooled,test,antigen_len,available,117,0.03360186091455557,0.04331935195966405
absolute_error_vs_feature,all_cdr_pooled,test,contact_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,test,min_distance,missing_feature,0,,
absolute_error_vs_feature,all_cdr_pooled,test,interface_residue_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,test,HCDR3_len,available,117,0.027574591868782385,0.06831534190685387
absolute_error_vs_feature,all_cdr_cross_attention,test,LCDR3_len,available,117,-0.08058703108906975,-0.06794111982869984
absolute_error_vs_feature,all_cdr_cross_attention,test,total_CDR_len,available,117,0.07110077958188946,0.1395703727140004
absolute_error_vs_feature,all_cdr_cross_attention,test,antigen_len,available,117,0.03117558509979931,0.06920530617946329
absolute_error_vs_feature,all_cdr_cross_attention,test,contact_count,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,test,min_distance,missing_feature,0,,
absolute_error_vs_feature,all_cdr_cross_attention,test,interface_residue_count,missing_feature,0,,
